indice,Data_Publicacao,data_gmt,Data_Pregao_Atribuido,Categoria,Portal,Fonte,Noticia,Resumo,URL,Idioma,texto
N0000083,2018-01-10 18:57:57,2018-01-10T20:57:57,2018-01-11,CAT1_Empresa,Exame,WP_Exame,Ibovespa dá sequência a ajuste e cai pelo segundo dia,"Agentes de mercado mantêm um viés positivo para o mercado acionário, avaliando o ajuste apenas como temporário",https://exame.com/invest/mercados/ibovespa-da-sequencia-a-ajuste-e-cai-pelo-segundo-dia/,pt,"ibovespa dá sequência a ajuste e cai pelo segundo dia || agentes de mercado mantêm um viés positivo para o mercado acionário, avaliando o ajuste apenas como temporário"
N0000100,2018-01-11 21:39:18,2018-01-11T23:39:18,2018-01-12,CAT2_Mercado_Petroleo,Exame,WP_Exame,S&P: atraso em reforma e incerteza política são fraquezas do país,A agência de risco Standard & Poor's rebaixou a nota soberana do país de BB para BB- e revisou a perspectiva de negativa para estável,https://exame.com/economia/sp-atraso-em-reforma-e-incerteza-politica-sao-fraquezas-do-pais/,pt,s&p: atraso em reforma e incerteza política são fraquezas do país || a agência de risco standard & poor's rebaixou a nota soberana do país de bb para bb- e revisou a perspectiva de negativa para estável
N0000105,2018-01-12 17:22:00,2018-01-12T20:22:00,2018-01-15,CAT2_Mercado_Petroleo,InfoMoney,WP_InfoMoney,Até onde vai o rali? Mercado americano tem melhor começo de ano desde 2003,"Para uma analista, a incerteza sobre o atual rali pode ser bom para o mercado, porque “atenua as expectativas”",https://www.infomoney.com.br/mercados/ate-onde-vai-o-rali-mercado-americano-tem-melhor-comeco-de-ano-desde-2003/,pt,"até onde vai o rali? mercado americano tem melhor começo de ano desde 2003 || para uma analista, a incerteza sobre o atual rali pode ser bom para o mercado, porque “atenua as expectativas”"
N0000119,2018-01-15 18:50:01,2018-01-15T20:50:01,2018-01-16,CAT1_Empresa,Exame,WP_Exame,Ibovespa renova máximas em dia de feriado nos EUA,"O rali tem sido sustentado pela perspectiva positiva para a economia mundial, assim como diante da visão favorável para o cenário local",https://exame.com/invest/mercados/ibovespa-renova-maximas-em-dia-de-feriado-nos-eua/,pt,"ibovespa renova máximas em dia de feriado nos eua || o rali tem sido sustentado pela perspectiva positiva para a economia mundial, assim como diante da visão favorável para o cenário local"
N0000261,2018-01-29 20:36:41,2018-01-29T22:36:41,2018-01-30,CAT1_Empresa,Exame,WP_Exame,"Petrobras pagará R$1,7 bi com adesão a parcelamento via Repetro","A estatal disse que a decisão terá um impacto negativo no resultado do 4° trimestre de 2017 de aproximadamente 1,1 bilhão de reais",https://exame.com/economia/petrobras-pagara-r17-bi-com-adesao-a-parcelamento-via-repetro/,pt,"petrobras pagará r$1,7 bi com adesão a parcelamento via repetro || a estatal disse que a decisão terá um impacto negativo no resultado do 4° trimestre de 2017 de aproximadamente 1,1 bilhão de reais"
N0000443,2018-02-14 18:20:23,2018-02-14T20:20:23,2018-02-15,CAT1_Empresa,MoneyTimes,WP_MoneyTimes,Siderúrgicas turbinam alta de 3% do Ibovespa na volta do Carnaval,"A volta do feriado de Carnaval foi positiva para a Bolsa brasileira nesta quarta-feira (14). Embalado pelo comportamento do mercado financeiro no exterior, que operou normalmente nos dois últimos dias e se recuperou do tombo da semana anterior, o Ibovespa fechou em alta de 3,27%, aos 83.542 pontos. No câmbio, o dólar caiu 2,27% frente […]",https://www.moneytimes.com.br/siderurgicas-turbinam-alta-de-3-do-ibovespa-na-volta-do-carnaval/,pt,"siderúrgicas turbinam alta de 3% do ibovespa na volta do carnaval || a volta do feriado de carnaval foi positiva para a bolsa brasileira nesta quarta-feira (14). embalado pelo comportamento do mercado financeiro no exterior, que operou normalmente nos dois últimos dias e se recuperou do tombo da semana anterior, o ibovespa fechou em alta de 3,27%, aos 83.542 pontos. no câmbio, o dólar caiu 2,27% frente […]"
N0000693,2018-03-07 22:24:14,2018-03-08T01:24:14,2018-03-08,CAT3_Geopolitica,MoneyTimes,WP_MoneyTimes,"“Guerra comercial é muito negativa”, diz Meirelles sobre política de Trump","O ministro da Fazenda, Henrique Meirelles, criticou hoje (7) a decisão do presidente dos Estados Unidos, Donald Trump, de aumentar as tarifas de importação de aço e de alumínio no país. Segundo Meirelles, a proposta “prejudica a todos e inclusive a indústria americana, porque teria que pagar mais pelo aço”, e acrescentou: “é negativo para […]",https://www.moneytimes.com.br/guerra-comercial-e-muito-negativa-diz-meirelles-sobre-politica-de-trump/,pt,"“guerra comercial é muito negativa”, diz meirelles sobre política de trump || o ministro da fazenda, henrique meirelles, criticou hoje (7) a decisão do presidente dos estados unidos, donald trump, de aumentar as tarifas de importação de aço e de alumínio no país. segundo meirelles, a proposta “prejudica a todos e inclusive a indústria americana, porque teria que pagar mais pelo aço”, e acrescentou: “é negativo para […]"
N0000710,2018-03-08 22:04:57,2018-03-09T01:04:57,2018-03-09,CAT3_Geopolitica,Poder360,WP_Poder360,Meirelles: sobretaxa dos EUA reforça que Brasil precisa de outros parceiros,"‘Estamos em negociação com UE’
Protecionismo é negativo para todos",https://www.poder360.com.br/economia/meirelles-sobretaxa-dos-eua-reforca-que-brasil-precisa-de-outros-parceiros/,pt,"meirelles: sobretaxa dos eua reforça que brasil precisa de outros parceiros || ‘estamos em negociação com ue’
protecionismo é negativo para todos"
N0000785,2018-03-15 17:56:10,2018-03-15T20:56:10,2018-03-16,CAT1_Empresa,MoneyTimes,WP_MoneyTimes,BB Investimentos deixa de recomendar compra das ações da Petrobras,"O BB Investimentos cortou a recomendação para as ações da Petrobras (PETR3; PETR4) de outperform (desempenho acima da média do mercado), o equivalente à compra, para market perform (desempenho em linha com a média do mercado), mas elevou o preço-alvo de R$ 18,70 para R$ 23,50 com o objetivo para dezembro de 2018. O analista […]",https://www.moneytimes.com.br/bb-investimentos-deixa-de-recomendar-compra-das-acoes-da-petrobras/,pt,"bb investimentos deixa de recomendar compra das ações da petrobras || o bb investimentos cortou a recomendação para as ações da petrobras (petr3; petr4) de outperform (desempenho acima da média do mercado), o equivalente à compra, para market perform (desempenho em linha com a média do mercado), mas elevou o preço-alvo de r$ 18,70 para r$ 23,50 com o objetivo para dezembro de 2018. o analista […]"
N0000808,2018-03-16 21:54:25,2018-03-17T00:54:25,2018-03-19,CAT1_Empresa,MoneyTimes,WP_MoneyTimes,Santander vê Ibovespa a 97 mil pontos e indica Top 5 para 2018,"Os estrategistas para América Latina do Santander elevaram o preço-alvo para o Ibovespa em dezembro de 2018 de 90 mil pontos para 97 mil pontos, revelou o banco nesta sexta-feira (16). O principal argumento para a revisão foi a nova projeção para os lucros das empresas inseridas no índice. Considerando o patamar de fechamento atual, […]",https://www.moneytimes.com.br/santander-ve-ibovespa-97-mil-pontos-e-indica-top-5-para-2018/,pt,"santander vê ibovespa a 97 mil pontos e indica top 5 para 2018 || os estrategistas para américa latina do santander elevaram o preço-alvo para o ibovespa em dezembro de 2018 de 90 mil pontos para 97 mil pontos, revelou o banco nesta sexta-feira (16). o principal argumento para a revisão foi a nova projeção para os lucros das empresas inseridas no índice. considerando o patamar de fechamento atual, […]"
N0000917,2018-03-27 18:50:59,2018-03-27T21:50:59,2018-03-28,CAT1_Empresa,Exame,WP_Exame,Início de ano é positivo para Petrobras no comércio de combustíveis,"Segundo presidente Pedro Parente, perspectiva é de recuperação do mercado de óleo diesel",https://exame.com/negocios/inicio-de-ano-e-positivo-para-petrobras-no-comercio-de-combustiveis/,pt,"início de ano é positivo para petrobras no comércio de combustíveis || segundo presidente pedro parente, perspectiva é de recuperação do mercado de óleo diesel"
N0001074,2018-04-09 21:11:04,2018-04-10T00:11:04,2018-04-10,CAT1_Empresa,Exame,WP_Exame,"Moody's eleva rating da Petrobras, com perspectiva estável","Medida foi reflexo da decisão da agência, que horas antes havia anunciado a melhora da perspectiva do rating soberano do Brasil, de negativa para estável",https://exame.com/economia/moodys-eleva-rating-da-petrobras-com-perspectiva-estavel/,pt,"moody's eleva rating da petrobras, com perspectiva estável || medida foi reflexo da decisão da agência, que horas antes havia anunciado a melhora da perspectiva do rating soberano do brasil, de negativa para estável"
N0001677,2018-05-17 17:22:20,2018-05-17T20:22:20,2018-05-18,CAT1_Empresa,MoneyTimes,WP_MoneyTimes,"Petrobras despenca 5,3% com adiamento de anúncio sobre cessão onerosa","Investing.com – As ações da Petrobras (PETR4) encerraram esta quinta-feira (17) com queda de 5,3% a R$ 25,95 para as preferenciais e de 4,5% para as ordinárias. O preço do petróleo, que segue em alta nos mercados internacionais, ajudou a segurar a desvalorização em dia negativo para o mercado local de ações. Em comunicado, a estatal […]",https://www.moneytimes.com.br/petrobras-desacelera-queda-com-adiamento-de-anuncio-sobre-cessao-onerosa/,pt,"petrobras despenca 5,3% com adiamento de anúncio sobre cessão onerosa || investing.com – as ações da petrobras (petr4) encerraram esta quinta-feira (17) com queda de 5,3% a r$ 25,95 para as preferenciais e de 4,5% para as ordinárias. o preço do petróleo, que segue em alta nos mercados internacionais, ajudou a segurar a desvalorização em dia negativo para o mercado local de ações. em comunicado, a estatal […]"
N0002018,2018-05-30 18:45:38,2018-05-30T21:45:38,2018-06-01,CAT2_Mercado_Petroleo,Exame,WP_Exame,"Bolsas de NY sobem, com perspectiva positiva para a economia dos EUA","Mesmo diante de um resultado moderado do PIB americano no primeiro trimestre, investidores se animaram com a aceleração da atividade industrial no país",https://exame.com/invest/mercados/bolsas-de-ny-sobem-com-perspectiva-positiva-para-a-economia-dos-eua/,pt,"bolsas de ny sobem, com perspectiva positiva para a economia dos eua || mesmo diante de um resultado moderado do pib americano no primeiro trimestre, investidores se animaram com a aceleração da atividade industrial no país"
N0002063,2018-06-01 18:23:03,2018-06-01T21:23:03,2018-06-04,CAT1_Empresa,Exame,WP_Exame,Fitch: possível aumento de interferência política na Petrobras é negativo,"Agência afirma que demissão de Parente é negativo para o crédito da companhia, pois poderia tirar dos trilhos suas metas de desalavancagem",https://exame.com/negocios/fitch-possivel-aumento-de-interferencia-politica-na-petrobras-e-negativo/,pt,"fitch: possível aumento de interferência política na petrobras é negativo || agência afirma que demissão de parente é negativo para o crédito da companhia, pois poderia tirar dos trilhos suas metas de desalavancagem"
N0002410,2018-06-21 17:06:51,2018-06-21T20:06:51,2018-06-22,CAT2_Mercado_Petroleo,MoneyTimes,WP_MoneyTimes,Santander derruba preço-alvo para o Ibovespa,O Santander revisou para baixo o preço-alvo para o Ibovespa de 97 mil pontos para 78 mil pontos ao adotar uma visão mais cautelosa para o Brasil. A equipe de estratégia da América Latina avalia que o balanço de riscos tanto domésticos quanto internacionais tem se deteriorado. O número representa um potencial de valorização de […],https://www.moneytimes.com.br/santander-derruba-preco-alvo-para-o-ibovespa/,pt,santander derruba preço-alvo para o ibovespa || o santander revisou para baixo o preço-alvo para o ibovespa de 97 mil pontos para 78 mil pontos ao adotar uma visão mais cautelosa para o brasil. a equipe de estratégia da américa latina avalia que o balanço de riscos tanto domésticos quanto internacionais tem se deteriorado. o número representa um potencial de valorização de […]
N0002700,2018-07-13 17:15:43,2018-07-13T20:15:43,2018-07-16,CAT3_Geopolitica,MoneyTimes,WP_MoneyTimes,"Disputa entre EUA e China é ruim para Brasil, diz ministro","O ministro das Relações Exteriores, Aloysio Nunes, considera ruim para o Brasil a disputa comercial dos Estados Unidos, que impõe política protecionista, com a China. Ele participou hoje (13) de reunião com os setores de comércio exterior e de agronegócio da Federação das Indústrias do Estado de São Paulo (Fiesp), na capital paulista. “As implicações de uma […]",https://www.moneytimes.com.br/ministro-considera-ruim-para-brasil-disputa-entre-eua-e-china/,pt,"disputa entre eua e china é ruim para brasil, diz ministro || o ministro das relações exteriores, aloysio nunes, considera ruim para o brasil a disputa comercial dos estados unidos, que impõe política protecionista, com a china. ele participou hoje (13) de reunião com os setores de comércio exterior e de agronegócio da federação das indústrias do estado de são paulo (fiesp), na capital paulista. “as implicações de uma […]"
N0002819,2018-07-23 20:06:13,2018-07-23T23:06:13,2018-07-24,CAT2_Mercado_Petroleo,MoneyTimes,WP_MoneyTimes,Safra corta preço-alvo para ação da Gol,"O banco Safra cortou o preço-alvo para as ações da Gol (GOLL4) de R$ 26,30 para R$ 18,40 e manteve a recomendação outperform (desempenho acima da média do mercado), mostra um relatório enviado a clientes e assinado por Luiz Peçanha. O analista incorporou os resultados do primeiro trimestre de 2018, atualizou as premissas macroeconômicas e […]",https://www.moneytimes.com.br/safra-corta-preco-alvo-para-acao-da-gol/,pt,"safra corta preço-alvo para ação da gol || o banco safra cortou o preço-alvo para as ações da gol (goll4) de r$ 26,30 para r$ 18,40 e manteve a recomendação outperform (desempenho acima da média do mercado), mostra um relatório enviado a clientes e assinado por luiz peçanha. o analista incorporou os resultados do primeiro trimestre de 2018, atualizou as premissas macroeconômicas e […]"
N0002826,2018-07-24 18:00:21,2018-07-24T21:00:21,2018-07-25,CAT2_Mercado_Petroleo,Petronoticias,WP_Petronoticias,SHELL ABRE INSCRIÇÕES PARA PROGRAMA DE INCENTIVO À JOVENS DO SETOR ENERGIA,A Shell está abrindo oportunidades para a capacitação de jovens empreendedores. O programa busca soluções focadas em Energias Renováveis e Cidades Inteligentes que funciona como uma pré-aceleradora de startups. O objetivo é selecionar dez empreendimentos que apresentem soluções inovadoras e com potencial de impacto positivo para o mercado nas áreas de Energias Renováveis e Cidades […],https://petronoticias.com.br/shell-abre-inscricoes-para-programa-de-incentivo-a-jovens-empreendedores-do-setor-energia/,pt,shell abre inscrições para programa de incentivo à jovens do setor energia || a shell está abrindo oportunidades para a capacitação de jovens empreendedores. o programa busca soluções focadas em energias renováveis e cidades inteligentes que funciona como uma pré-aceleradora de startups. o objetivo é selecionar dez empreendimentos que apresentem soluções inovadoras e com potencial de impacto positivo para o mercado nas áreas de energias renováveis e cidades […]
N0003167,2018-08-21 17:43:06,2018-08-21T20:43:06,2018-08-22,CAT1_Empresa,Petronoticias,WP_Petronoticias,HOMOLOGADO O PLANO DE RECUPERAÇÃO JUDICIAL DA ECOVIX,"Mais uma notícia positiva para a indústria naval. A Justiça homologou o plano de recuperação judicial do grupo Ecovix, que havia sido aprovado na assembleia geral de credores no fim de junho. A partir de agora, segundo o advogado Alexandre Faro, do escritório Freire Assis Sakamoto Violante, que participou do processo, será feita a limpeza do […]",https://petronoticias.com.br/homologado-o-plano-de-recuperacao-judicial-da-ecovix/,pt,"homologado o plano de recuperação judicial da ecovix || mais uma notícia positiva para a indústria naval. a justiça homologou o plano de recuperação judicial do grupo ecovix, que havia sido aprovado na assembleia geral de credores no fim de junho. a partir de agora, segundo o advogado alexandre faro, do escritório freire assis sakamoto violante, que participou do processo, será feita a limpeza do […]"
N0003722,2018-10-16 20:15:31,2018-10-16T23:15:31,2018-10-17,CAT7_Macro_Energia,MoneyTimes,WP_MoneyTimes,BTG eleva preço-alvo para ação da Vale,"O BTG Pactual elevou o seu preço-alvo para os papéis da Vale negociados em Nova York e representam as ações VALE3 na B3, mostra um relatório enviado a clientes nesta terça-feira (16) à noite. O valor foi elevado de US$ 18 para US$ 20, o que sugere um potencial de valorização de aproximadamente 29%. Os […]",https://www.moneytimes.com.br/btg-eleva-preco-alvo-para-acao-da-vale/,pt,"btg eleva preço-alvo para ação da vale || o btg pactual elevou o seu preço-alvo para os papéis da vale negociados em nova york e representam as ações vale3 na b3, mostra um relatório enviado a clientes nesta terça-feira (16) à noite. o valor foi elevado de us$ 18 para us$ 20, o que sugere um potencial de valorização de aproximadamente 29%. os […]"
N0003855,2018-10-28 17:52:00,2018-10-28T20:52:00,2018-10-29,CAT7_Macro_Energia,InfoMoney,WP_InfoMoney,Brasil com Bolsonaro: está na hora de aumentar o risco nos seus investimentos,Karel Luketic acredita que um governo Bolsonaro focado em reformas pode gerar resultado muito positivo para a bolsa de valores,https://www.infomoney.com.br/mercados/brasil-com-bolsonaro-esta-na-hora-de-aumentar-o-risco-nos-seus-investimentos/,pt,brasil com bolsonaro: está na hora de aumentar o risco nos seus investimentos || karel luketic acredita que um governo bolsonaro focado em reformas pode gerar resultado muito positivo para a bolsa de valores
N0004660,2019-01-08 19:02:51,2019-01-08T21:02:51,2019-01-09,CAT1_Empresa,MoneyTimes,WP_MoneyTimes,"Bradesco BBI: US$ 14 bi da Cessão Onerosa elevaria preço-alvo da Petrobras em R$ 2,15","Segundo cálculos da equipe do Bradesco BBI, um possível pagamento da União à Petrobras (PETR4) de US$ 14 bilhões, que cedeu para a estatal o direito de explorar seis grandes blocos de petróleo na camada do pré-sal, pode resultar em um aumento de R$ 2,15 no preço-alvo das ações. O valor atual é estipulado em R$ […]",https://www.moneytimes.com.br/bradesco-bbi-us-14-bi-da-cessao-onerosa-elevaria-preco-alvo-da-petrobras-em-r-215/,pt,"bradesco bbi: us$ 14 bi da cessão onerosa elevaria preço-alvo da petrobras em r$ 2,15 || segundo cálculos da equipe do bradesco bbi, um possível pagamento da união à petrobras (petr4) de us$ 14 bilhões, que cedeu para a estatal o direito de explorar seis grandes blocos de petróleo na camada do pré-sal, pode resultar em um aumento de r$ 2,15 no preço-alvo das ações. o valor atual é estipulado em r$ […]"
N0005150,2019-02-18 17:33:56,2019-02-18T20:33:56,2019-02-19,CAT3_Geopolitica,MoneyTimes,WP_MoneyTimes,"Invista no agronegócio com as ações da BrasilAgro, indica BB Investimentos","O BB Investimentos iniciou a cobertura das ações da BrasilAgro (AGRO3) com a recomendação outperform (desempenho acima da média do mercado), o mesmo que compra, e um preço-alvo de R$ 20, mostra um relatório enviado a clientes nesta segunda-feira (18). O valor sugere um potencial de valorização de aproximadamente 26,7%. O analista Marcio Montes explica que […]",https://www.moneytimes.com.br/invista-no-agronegocio-com-as-acoes-da-brasilagro-indica-bb-investimentos/,pt,"invista no agronegócio com as ações da brasilagro, indica bb investimentos || o bb investimentos iniciou a cobertura das ações da brasilagro (agro3) com a recomendação outperform (desempenho acima da média do mercado), o mesmo que compra, e um preço-alvo de r$ 20, mostra um relatório enviado a clientes nesta segunda-feira (18). o valor sugere um potencial de valorização de aproximadamente 26,7%. o analista marcio montes explica que […]"
N0005292,2019-02-27 22:04:25,2019-02-28T01:04:25,2019-02-28,CAT1_Empresa,MoneyTimes,WP_MoneyTimes,"Resultado da Petrobras mostra que o melhor ainda está por vir, diz XP","A XP Investimentos avalia que o resultado do quarto trimestre de 2018 da Petrobras (PETR3; PETR4) foi positivo, mas alerta que o melhor ainda está por vir, mostra um relatório enviado a clientes nesta quarta-feira (27). A recomendação de compra foi reiterada, com preço-alvo de R$ 31 para preferencial e R$ 30 para ordinária. 6 passos para […]",https://www.moneytimes.com.br/resultado-da-petrobras-mostra-que-o-melhor-ainda-esta-por-vir-diz-xp/,pt,"resultado da petrobras mostra que o melhor ainda está por vir, diz xp || a xp investimentos avalia que o resultado do quarto trimestre de 2018 da petrobras (petr3; petr4) foi positivo, mas alerta que o melhor ainda está por vir, mostra um relatório enviado a clientes nesta quarta-feira (27). a recomendação de compra foi reiterada, com preço-alvo de r$ 31 para preferencial e r$ 30 para ordinária. 6 passos para […]"
N0005289,2019-02-27 21:07:40,2019-02-28T00:07:40,2019-02-28,CAT7_Macro_Energia,MoneyTimes,WP_MoneyTimes,Marfrig volta ao positivo com ajuste nas operações em 2018,"A Marfrig (MRFG3) anotou um lucro líquido de R$ 2,2 bilhões no quarto trimestre de 2018, contra um prejuízo de R$ 22 milhões vistos um ano antes, informou a empresa por meio de um comunicado envido ao mercado nesta quarta-feira (27). O valor considera o impacto positivo do ganho de capital advindo da venda da Keystone. […]",https://www.moneytimes.com.br/marfrig-volta-ao-positivo-com-ajuste-nas-operacoes-em-2018/,pt,"marfrig volta ao positivo com ajuste nas operações em 2018 || a marfrig (mrfg3) anotou um lucro líquido de r$ 2,2 bilhões no quarto trimestre de 2018, contra um prejuízo de r$ 22 milhões vistos um ano antes, informou a empresa por meio de um comunicado envido ao mercado nesta quarta-feira (27). o valor considera o impacto positivo do ganho de capital advindo da venda da keystone. […]"
N0005536,2019-03-22 18:05:10,2019-03-22T21:05:10,2019-03-25,CAT5_Sancoes_Navegacao,MoneyTimes,WP_MoneyTimes,"Governo quer explorar Base de Alcântara comercialmente, diz Pontes","O acordo assinado esta semana com os Estados Unidos para Salvaguardas Tecnológicas (AST) é um passo importante para que o Brasil transforme a base de lançamento aeroespacial de Alcântara, no Maranhão, em um centro comercial, o que “vai ser muito bom para o Estado e para a região”, disse hoje (22), o ministro da Ciência, Tecnologia, […]",https://www.moneytimes.com.br/governo-quer-explorar-base-de-alcantara-comercialmente-diz-pontes/,pt,"governo quer explorar base de alcântara comercialmente, diz pontes || o acordo assinado esta semana com os estados unidos para salvaguardas tecnológicas (ast) é um passo importante para que o brasil transforme a base de lançamento aeroespacial de alcântara, no maranhão, em um centro comercial, o que “vai ser muito bom para o estado e para a região”, disse hoje (22), o ministro da ciência, tecnologia, […]"
N0005833,2019-04-12 18:16:12,2019-04-12T21:16:12,2019-04-15,CAT1_Empresa,MoneyTimes,WP_MoneyTimes,Veto do ajuste do diesel derruba Petrobras e Ibovespa; exterior em alta,"Por Investing.com A reforma da Previdência é o carro-chefe para avaliação do prêmio de risco nos ativos brasileiros. A sexta-feira (12) reservou até notícias positivas para que o Ibovespa aproveitasse algo da onda do apetite ao risco que tomou conta dos mercados mundiais. Entretanto, o presidente Jair Bolsonaro entrou em polêmica ao solicitar a suspensão do reajuste […]",https://www.moneytimes.com.br/veto-do-ajuste-do-diesel-derruba-petrobras-e-ibovespa-exterior-em-alta/,pt,"veto do ajuste do diesel derruba petrobras e ibovespa; exterior em alta || por investing.com a reforma da previdência é o carro-chefe para avaliação do prêmio de risco nos ativos brasileiros. a sexta-feira (12) reservou até notícias positivas para que o ibovespa aproveitasse algo da onda do apetite ao risco que tomou conta dos mercados mundiais. entretanto, o presidente jair bolsonaro entrou em polêmica ao solicitar a suspensão do reajuste […]"
N0006294,2019-05-13 17:43:04,2019-05-13T20:43:04,2019-05-14,CAT1_Empresa,MoneyTimes,WP_MoneyTimes,"BK Brasil cai mais de 3% após registrar queda de 65,4% no lucro do 1º trimestre","Por Investing.com  As ações do Burger King Brasil (BKBR3) encerraram o pregão desta segunda-feira (13) com forte queda de 3,61% a R$ 20,82, em dia que foi negativo para quase todo o mercado local. Na manhã de hoje, a companhia divulgou que encerrou o primeiro trimestre do ano com lucro líquido de R$ 3,1 milhões, contra R$ […]",https://www.moneytimes.com.br/bk-brasil-cai-mais-de-3-apos-registrar-queda-de-654-no-lucro-do-1o-trimestre/,pt,"bk brasil cai mais de 3% após registrar queda de 65,4% no lucro do 1º trimestre || por investing.com  as ações do burger king brasil (bkbr3) encerraram o pregão desta segunda-feira (13) com forte queda de 3,61% a r$ 20,82, em dia que foi negativo para quase todo o mercado local. na manhã de hoje, a companhia divulgou que encerrou o primeiro trimestre do ano com lucro líquido de r$ 3,1 milhões, contra r$ […]"
N0006302,2019-05-13 18:10:48,2019-05-13T21:10:48,2019-05-14,CAT1_Empresa,MoneyTimes,WP_MoneyTimes,Braskem cai mais de 5% após ações terem negociações suspensas em Nova York,"Por Investing.com Em dia negativo para os mercados de ações, a Braskem (BRKM5) operaram com forte queda de 6,99% a R$ 37,25. Mais cedo, a companhia afirmou que não vai conseguir entregar no prazo o formulário 20-F de 2017 com informações da petroquímica ao regulador do mercado norte-americano e por isso suas ações negociadas na […]",https://www.moneytimes.com.br/braskem-cai-mais-de-5-apos-acoes-terem-negociacoes-suspensas-em-nova-york/,pt,"braskem cai mais de 5% após ações terem negociações suspensas em nova york || por investing.com em dia negativo para os mercados de ações, a braskem (brkm5) operaram com forte queda de 6,99% a r$ 37,25. mais cedo, a companhia afirmou que não vai conseguir entregar no prazo o formulário 20-f de 2017 com informações da petroquímica ao regulador do mercado norte-americano e por isso suas ações negociadas na […]"
N0006341,2019-05-14 18:32:11,2019-05-14T21:32:11,2019-05-15,CAT1_Empresa,MoneyTimes,WP_MoneyTimes,"Banrisul supera projeções do BTG, porém recomendação para ações permanece neutra","O BTG Pactual (BPAC11) divulgou relatório sobre o Banrisul (BRSR6), listando recomendação neutra para as ações, com preço-alvo de R$ 26,00 – o que equivale a um upside (potencial de valorização) de 6,9% relação ao último fechamento. Para os analistas Eduardo Rosman e Thiago Kapulskis, o lucro líquido relatado veio acima das projeções, ao totalizar R$ 320 milhões […]",https://www.moneytimes.com.br/banrisul-supera-projecoes-do-btg-porem-recomendacao-para-acoes-permanece-neutra/,pt,"banrisul supera projeções do btg, porém recomendação para ações permanece neutra || o btg pactual (bpac11) divulgou relatório sobre o banrisul (brsr6), listando recomendação neutra para as ações, com preço-alvo de r$ 26,00 – o que equivale a um upside (potencial de valorização) de 6,9% relação ao último fechamento. para os analistas eduardo rosman e thiago kapulskis, o lucro líquido relatado veio acima das projeções, ao totalizar r$ 320 milhões […]"
N0006334,2019-05-14 17:46:20,2019-05-14T20:46:20,2019-05-15,CAT1_Empresa,MoneyTimes,WP_MoneyTimes,"Pão de Açúcar cresce 3,10% com elevação do preço-alvo pelo BTG","Por Investing.com O BTG Pactual (BPAC11) divulgou na manhã desta terça-feira a atualização para as estimativas do Grupo Pão de Açúcar (PCAR4), com o preço-alvo indo de R$ 80 para R$ 106, o que representa uma alta de 32% em relação aos níveis atuais, considerando a Via Varejo (VVAR3) a preços correntes. Desta foram a […]",https://www.moneytimes.com.br/btg-mantem-compra-e-eleva-preco-alvo-do-gpa-para-r-106-acoes-operam-em-alta/,pt,"pão de açúcar cresce 3,10% com elevação do preço-alvo pelo btg || por investing.com o btg pactual (bpac11) divulgou na manhã desta terça-feira a atualização para as estimativas do grupo pão de açúcar (pcar4), com o preço-alvo indo de r$ 80 para r$ 106, o que representa uma alta de 32% em relação aos níveis atuais, considerando a via varejo (vvar3) a preços correntes. desta foram a […]"
N0006368,2019-05-15 19:41:24,2019-05-15T22:41:24,2019-05-16,CAT3_Geopolitica,MoneyTimes,WP_MoneyTimes,Cielo: Banco Safra derruba preço-alvo em 33%,"A equipe de análise do banco Safra cortou em 33% o preço-alvo para as ações da Cielo (CIEL3), revela um relatório enviado a clientes nesta quarta-feira (15). Os analistas Luis F. Azevedo e Silvio Dória mantiveram a recomendação em neutra devido ao aumento da concorrência no setor de adquirência. A disputa no setor tem sido chamada de […]",https://www.moneytimes.com.br/cielo-banco-safra-derruba-preco-alvo-em-33/,pt,"cielo: banco safra derruba preço-alvo em 33% || a equipe de análise do banco safra cortou em 33% o preço-alvo para as ações da cielo (ciel3), revela um relatório enviado a clientes nesta quarta-feira (15). os analistas luis f. azevedo e silvio dória mantiveram a recomendação em neutra devido ao aumento da concorrência no setor de adquirência. a disputa no setor tem sido chamada de […]"
N0006361,2019-05-15 17:46:07,2019-05-15T20:46:07,2019-05-16,CAT7_Macro_Energia,MoneyTimes,WP_MoneyTimes,"Embraer: Após divulgar prejuízo, ações caem mais de 4%","Por Investing.com  Em um dia negativo para os mercados acionários, as ações da Embraer (EMBR3) fecharam esta quarta-feira (15) com queda de 4,17% a R$ 18,14. Mais cedo, a companhia divulgou que fechou o primeiro trimestre do ano com prejuízo de US$ 42,5 milhões, já que a receita caiu em suas três principais divisões devido […]",https://www.moneytimes.com.br/embraer-apos-divulgar-prejuizo-acoes-caem-3/,pt,"embraer: após divulgar prejuízo, ações caem mais de 4% || por investing.com  em um dia negativo para os mercados acionários, as ações da embraer (embr3) fecharam esta quarta-feira (15) com queda de 4,17% a r$ 18,14. mais cedo, a companhia divulgou que fechou o primeiro trimestre do ano com prejuízo de us$ 42,5 milhões, já que a receita caiu em suas três principais divisões devido […]"
