indice,Data_Publicacao,data_gmt,Data_Pregao_Atribuido,Categoria,Portal,Fonte,Noticia,Resumo,URL,Idioma,texto
N0050492,2025-07-17 20:32:47,2025-07-17T23:32:47,2025-07-18,CAT3_Geopolitica,Poder360,WP_Poder360,"Atraso na tarifa de Trump seria “bom para todo mundo”, diz Apex","Presidente da agência, Jorge Viana voltou a defender ampliação do prazo para incidência em 90 dias",https://www.poder360.com.br/poder-economia/atraso-na-tarifa-de-trump-seria-bom-para-todo-mundo-diz-apex/,pt,"atraso na tarifa de trump seria “bom para todo mundo”, diz apex || presidente da agência, jorge viana voltou a defender ampliação do prazo para incidência em 90 dias"
N0050466,2025-07-17 17:09:42,2025-07-17T20:09:42,2025-07-18,CAT3_Geopolitica,MoneyTimes,WP_MoneyTimes,Mudança da Coca-Cola para açúcar de cana sairia cara e prejudicaria agricultores dos EUA,"Uma possível iniciativa da Coca-Cola e de outros setores de bebidas e alimentos de usar açúcar de cana em vez de xarope de milho como adoçante seria difícil e cara de implementar, além de ser negativa para os agricultores dos Estados Unidos. O presidente dos Estados Unidos, Donald Trump, disse na quarta-feira que a Coca-Cola […]",https://www.moneytimes.com.br/mudanca-da-coca-cola-para-acucar-de-cana-sairia-cara-e-prejudicaria-agricultores-dos-eua-pads/,pt,"mudança da coca-cola para açúcar de cana sairia cara e prejudicaria agricultores dos eua || uma possível iniciativa da coca-cola e de outros setores de bebidas e alimentos de usar açúcar de cana em vez de xarope de milho como adoçante seria difícil e cara de implementar, além de ser negativa para os agricultores dos estados unidos. o presidente dos estados unidos, donald trump, disse na quarta-feira que a coca-cola […]"
N0050792,2025-07-30 20:34:44,2025-07-30T23:34:44,2025-07-31,CAT2_Mercado_Petroleo,InfoMoney,WP_InfoMoney,"Análise: apesar de Magnitsky contra Moraes, EUA abrem espaço para negociar com Brasil","Pesquisadora destaca adiamento como sinal positivo para negociações entre Brasil e EUA, apesar das sanções ao ministro Alexandre de Moraes, que são “sinalização ao grupo bolsonarista”",https://www.infomoney.com.br/mundo/analise-apesar-de-magnitsky-contra-moraes-eua-abrem-espaco-para-negociar-com-brasil/,pt,"análise: apesar de magnitsky contra moraes, eua abrem espaço para negociar com brasil || pesquisadora destaca adiamento como sinal positivo para negociações entre brasil e eua, apesar das sanções ao ministro alexandre de moraes, que são “sinalização ao grupo bolsonarista”"
N0050974,2025-08-06 19:55:10,2025-08-06T22:55:10,2025-08-07,CAT1_Empresa,MoneyTimes,WP_MoneyTimes,JSL (JSLG3): Lucro despenca 80% no 2º tri; empresa vê possível impacto positivo em carnes após tarifas dos EUA,"A JSL (JSLG3), especializada em logística, teve queda de 80% no lucro líquido do segundo trimestre frente à mesma etapa de 2024, quando a reversão de uma provisão favoreceu o resultado do período, impactando a base de comparação deste ano. A empresa controlada do grupo Simpar apurou lucro líquido de R$ 21,4 milhões de abril […]",https://www.moneytimes.com.br/lucro-da-jsl-despenca-80-no-2o-tri-ve-possivel-impacto-positivo-em-carnes-apos-tarifas-dos-eua-kda/,pt,"jsl (jslg3): lucro despenca 80% no 2º tri; empresa vê possível impacto positivo em carnes após tarifas dos eua || a jsl (jslg3), especializada em logística, teve queda de 80% no lucro líquido do segundo trimestre frente à mesma etapa de 2024, quando a reversão de uma provisão favoreceu o resultado do período, impactando a base de comparação deste ano. a empresa controlada do grupo simpar apurou lucro líquido de r$ 21,4 milhões de abril […]"
N0051037,2025-08-08 17:56:01,2025-08-08T20:56:01,2025-08-11,CAT1_Empresa,InfoMoney,WP_InfoMoney,LREN3: por que as ações da Lojas Renner desabaram 7% mesmo com resultados positivos?,"Investidores embolsam os lucros recentes após queda recente de ações, mas seguem no geral positivos para companhia",https://www.infomoney.com.br/mercados/lren3-por-que-as-acoes-da-lojas-renner-desabam-mesmo-com-resultados-positivos/,pt,"lren3: por que as ações da lojas renner desabaram 7% mesmo com resultados positivos? || investidores embolsam os lucros recentes após queda recente de ações, mas seguem no geral positivos para companhia"
N0051136,2025-08-13 17:25:47,2025-08-13T20:25:47,2025-08-14,CAT2_Mercado_Petroleo,InfoMoney,WP_InfoMoney,LIGT3: ação da Light desaba após 2T frustrante; UBS BB mantém venda e vê queda de 45%,"UBS BB tem preço-alvo de R$ 4 para os ativos, ante R$ 7,30 do fechamento da véspera",https://www.infomoney.com.br/mercados/ligt3-acao-da-light-desaba-apos-2t-frustrante-ubs-bb-mantem-venda-e-ve-queda-de-45/,pt,"ligt3: ação da light desaba após 2t frustrante; ubs bb mantém venda e vê queda de 45% || ubs bb tem preço-alvo de r$ 4 para os ativos, ante r$ 7,30 do fechamento da véspera"
N0051459,2025-08-28 17:56:40,2025-08-28T20:56:40,2025-08-29,CAT1_Empresa,InfoMoney,WP_InfoMoney,Vamos (VAMO3) dispara após Citi elevar recomendação e preço-alvo; veja os motivos,"Analistas dizem que guidance após último balanço mostra expectativas mais ajustadas para o negócio, levando em conta as condições do mercado, e lista três pilares da gestão",https://www.infomoney.com.br/mercados/vamos-vamo3-dispara-apos-citi-elevar-recomendacao-e-preco-alvo-veja-os-motivos/,pt,"vamos (vamo3) dispara após citi elevar recomendação e preço-alvo; veja os motivos || analistas dizem que guidance após último balanço mostra expectativas mais ajustadas para o negócio, levando em conta as condições do mercado, e lista três pilares da gestão"
N0051666,2025-09-09 17:35:49,2025-09-09T20:35:49,2025-09-10,CAT2_Mercado_Petroleo,Exame,WP_Exame,"Na Argentina, volatilidade à vista até a próxima eleição: e os seus investimentos?","Para o Itaú BBA, eleições de 26 de outubro ainda não estão decididas; algumas casas como o Morgan Stanley retiraram recomendação de compra para Argentina",https://exame.com/invest/mercados/na-argentina-volatilidade-a-vista-ate-a-proxima-eleicao-e-os-seus-investimentos/,pt,"na argentina, volatilidade à vista até a próxima eleição: e os seus investimentos? || para o itaú bba, eleições de 26 de outubro ainda não estão decididas; algumas casas como o morgan stanley retiraram recomendação de compra para argentina"
N0052261,2025-10-05 19:29:35,2025-10-05T22:29:35,2025-10-06,CAT3_Geopolitica,Poder360,WP_Poder360,Trump diz que plano de paz para Gaza é “ótimo para todos”,"O presidente dos EUA disse que as negociações entre Israel e Hamas, que começam na 2ª feira (6.out), devem durar “alguns dias”",https://www.poder360.com.br/poder-internacional/trump-diz-que-plano-de-paz-para-gaza-e-otimo-para-todos/,pt,"trump diz que plano de paz para gaza é “ótimo para todos” || o presidente dos eua disse que as negociações entre israel e hamas, que começam na 2ª feira (6.out), devem durar “alguns dias”"
N0052611,2025-10-18 20:00:06,2025-10-18T23:00:06,2025-10-20,CAT3_Geopolitica,Poder360,WP_Poder360,"Liberação miofascial ajuda a controlar dor lombar crônica, diz estudo","Técnica que aplica pressão em tecido que envolve músculos e órgãos mostrou impacto positivo em pessoas com dor crônica, facilitando movimentos do dia a dia",https://www.poder360.com.br/poder-saude/liberacao-miofascial-ajuda-a-controlar-dor-lombar-cronica-diz-estudo/,pt,"liberação miofascial ajuda a controlar dor lombar crônica, diz estudo || técnica que aplica pressão em tecido que envolve músculos e órgãos mostrou impacto positivo em pessoas com dor crônica, facilitando movimentos do dia a dia"
