data_publicacao,ativo,categoria,fonte_coleta,termo_busca,titulo,resumo,url,dominio,idioma,hash_titulo
2024-01-30 12:15:00,PETR4,CAT1_Empresa,GDELT,Petrobras,Prato do Povo do governo deixará milhares com fome - O que é notícia em Sergipe,Prato do Povo do governo deixará milhares com fome - O que é notícia em Sergipe,https://infonet.com.br/blogs/adiberto/prato-do-povo-do-governo-deixara-milhares-com-fome/,infonet.com.br,Portuguese,2c3b18a776b646f091d5aec57024f8cc1a2285032d36f88a5048e46a5a1298d4
2024-01-30 12:15:00,PETR4,CAT1_Empresa,GDELT,Petrobras,Brasil cai dez posies no ranking de percepo da corrupo ; relatório critica Bolsonaro,Brasil cai dez posies no ranking de percepo da corrupo ; relatório critica Bolsonaro,https://congressoemfoco.uol.com.br/area/pais/brasil-cai-dez-posicoes-no-ranking-de-percepcao-da-corrupcao-relatorio-critica-bolsonaro/,congressoemfoco.uol.com.br,Portuguese,c3a993802bb603bffcf2597d6b9e60a6473c7a4f61d9ac89aaf16c30517f6862
2024-01-30 10:15:00,PETR4,CAT1_Empresa,GDELT,Petrobras,"Processos seletivos na Prefeitura SP , Petrobras e empresas privadas somam 2 , 1 mil vagas","Processos seletivos na Prefeitura SP , Petrobras e empresas privadas somam 2 , 1 mil vagas",https://jcconcursos.uol.com.br/noticia/empregos/processos-seletivos-na-prefeitura-sp-petrobras-e-empresas-privadas-somam-21-mil-vagas-121581,jcconcursos.uol.com.br,Portuguese,6f58acfda85de0d87e0260894bad0ad8da8ae598796da322f39b7d358626d83e
2024-01-30 10:00:00,PETR4,CAT1_Empresa,GDELT,Petrobras,Fafen retomará produo de fertilizantes no município de Laranjeiras,Fafen retomará produo de fertilizantes no município de Laranjeiras,https://www.faxaju.com.br/economia/fafen-retomara-producao-de-fertilizantes-no-municipio-de-laranjeiras/,faxaju.com.br,Portuguese,248a622d96f1b235133b01ea59b6b15a81f06df9cf19a430ab9dc1b1102fdb8f
2024-01-30 09:15:00,PETR4,CAT1_Empresa,GDELT,Petrobras,"Sobe gasolina , diesel e botijão de gás ; Auditores fazem operao | Atualidade Jurídica","Sobe gasolina , diesel e botijão de gás ; Auditores fazem operao | Atualidade Jurídica",https://www.portalaz.com.br/colunas/14/atualidade-juridica/56494/sobe-gasolina-diesel-e-botijao-de-gas-auditores-fazem-operacao/,portalaz.com.br,Portuguese,343a902f5f55d36095c669535ec68d713723087f128d76eca1db523b9e984dd0
2024-01-30 08:15:00,PETR4,CAT1_Empresa,GDELT,Petrobras,Estadão ataca Mercadante e o desenvolvimento da indústria naval no Brasil,Estadão ataca Mercadante e o desenvolvimento da indústria naval no Brasil,https://www.brasil247.com/midia/estadao-ataca-mercadante-e-o-desenvolvimento-da-industria-naval-no-brasil,brasil247.com,Portuguese,1304148d3f5c4a29cff9a500ba4ce49944abaca8164c63b3974aca992bd1953e
2024-01-30 07:45:00,PETR4,CAT1_Empresa,GDELT,Petrobras,Brasil perde dez posies em ranking internacional de percepo da corrupo ; veja os dados,Brasil perde dez posies em ranking internacional de percepo da corrupo ; veja os dados,https://oglobo.globo.com/politica/noticia/2024/01/30/brasil-perde-dez-posicoes-em-ranking-internacional-de-percepcao-da-corrupcao-veja-os-dados.ghtml,oglobo.globo.com,Portuguese,f634dd29c6aecb5ebe507202ac7560422165fcfdb8ab3656f2e6472593887718
2024-01-30 05:30:00,PETR4,CAT1_Empresa,GDELT,Petrobras,"Mídia : barril de petróleo pode ultrapassar US$ 90 com crise no Iêmen , diz presidente da Petrobras","Mídia : barril de petróleo pode ultrapassar US$ 90 com crise no Iêmen , diz presidente da Petrobras",https://sputniknewsbr.com.br/20240130/midia-barril-de-petroleo-pode-ultrapassar-us-90-com-crise-no-iemen-diz-presidente-da-petrobras-32788411.html,sputniknewsbr.com.br,Portuguese,996819b911078e4caa94a9c33c0ac304fb05f790682bc69e353b0cf3365ac2de
2024-01-30 02:00:00,PETR4,CAT1_Empresa,GDELT,Petrobras,B3 anuncia Opes de Aes com vencimentos semanais,B3 anuncia Opes de Aes com vencimentos semanais,https://investimentosenoticias.com.br/bolsa-de-valores/b3-anuncia-opcoes-de-acoes-com-vencimentos-semanais/,investimentosenoticias.com.br,Portuguese,f05cbfe98d51658f45667c3fcdd67151971c5317adde34aebf1fafbdf0ffd37a
2024-01-30 02:00:00,PETR4,CAT1_Empresa,GDELT,Petrobras,Prates diz que crise no Iemen pode levar o barril de petróleo acima de US$ 90,Prates diz que crise no Iemen pode levar o barril de petróleo acima de US$ 90,https://oglobo.globo.com/economia/noticia/2024/01/29/prates-diz-que-crise-no-iemen-pode-levar-o-barril-de-petroleo-acima-de-us-90.ghtml,oglobo.globo.com,Portuguese,a3c1bffbdfbb76a4137788e33ab3c30fa68912e972db4215bfdbd5c4b5353a80
2024-01-30 01:30:00,PETR4,CAT1_Empresa,GDELT,Petrobras,Ibovespa fecha em queda com cautela ; Gol desaba,Ibovespa fecha em queda com cautela ; Gol desaba,https://diariodocomercio.com.br/economia/ibovespa-queda-cautela-gol/,diariodocomercio.com.br,Portuguese,11a873fe4712234f69a66109ae9e4359a1e71756c5624960bb5669de465d5a27
2024-01-30 00:45:00,PETR4,CAT1_Empresa,GDELT,Petrobras,"Gasolina , diesel e gás de cozinha ficarão mais caros","Gasolina , diesel e gás de cozinha ficarão mais caros",https://dol.com.br/noticias/brasil/846108/gasolina-diesel-e-gas-de-cozinha-ficarao-mais-caros,dol.com.br,Portuguese,56b8682f23291c31629f0842a1c43c312aa44023a79f8a0ae346891971fe644e
2024-01-29 23:45:00,PETR4,CAT1_Empresa,GDELT,Petrobras,"Diesel no Brasil está em média 11 % abaixo da paridade internacional e gasolina , 7 %, diz Abicom","Diesel no Brasil está em média 11 % abaixo da paridade internacional e gasolina , 7 %, diz Abicom",https://www.jornaldocomercio.com/economia/2024/01/1140885-diesel-no-brasil-esta-em-media-11-abaixo-da-paridade-internacional-e-gasolina-7-diz-abicom.html,jornaldocomercio.com,Portuguese,6c1735c5eefffb839f647e61fd29438abd4279a00eb9f118d70e60f8bd004d78
