Protocolo_Entrega,Ticker,Empresa,Categoria,Assunto,Entrega,Pregao_reacao,Parkinson_d1,Volume_d1,Gap_d1,Intradia_d1,Retorno_d1,razaoVol_1 semana (-6 a -2),razaoVolume_1 semana (-6 a -2),razaoVol_2 semanas (-11 a -2),razaoVolume_2 semanas (-11 a -2),razaoVol_1 mês (-23 a -2),razaoVolume_1 mês (-23 a -2),razaoVol_distante (-120 a -21),razaoVolume_distante (-120 a -21),Rotulo,Indice,Confianca,Generico,Atribuivel
023264IPE180120180104311809-55,ABEV3,AMBEV S.A.,Comunicado ao Mercado,"Conclusão da operação com a E. León Jimenes, S.A.",2018-01-18 19:03:45,2018-01-19,0.0062943754131164,10712900.0,0.0031883429427192,0.0004546592000966,0.0036430021428158,0.7088645587571671,1.0807530739152016,0.8097273813399304,1.2093861797015848,0.7380559670465067,1.0843367396514867,0.6270078260888436,0.7774691168693125,Positive,0.6905498,0.73875,False,True
023264IPE010320180104316009-23,ABEV3,AMBEV S.A.,Fato Relevante,Projeções 2018,2018-03-01 18:12:03,2018-03-02,0.0150821357080059,13813000.0,-0.0053861110424059,0.016071802033342,0.0106856909909361,1.26103695483541,0.4931752373403598,1.3237418538805157,0.6767601741850265,1.2893655619430993,0.7854856044537198,1.440080770067559,1.0221522049242469,Neutral,0.0010425001,0.68130815,False,True
023264IPE140320180104317310-81,ABEV3,AMBEV S.A.,Comunicado ao Mercado,Budweiser Argentina,2018-03-14 18:10:49,2018-03-15,0.0124861300688477,20333500.0,-0.0086905637599622,-0.0075094349690005,-0.0161999987289628,0.9337512147761422,1.480954115076475,0.931498882151926,1.0345968031220822,0.9671970771305736,1.1383159610098594,1.1638579767629131,1.491338791698981,Neutral,0.10330087,0.52935404,False,True
023264IPE020520180104322210-32,ABEV3,AMBEV S.A.,Comunicado ao Mercado,Comunicado ao Mercado - Budweiser Argentina (Closing),2018-05-02 18:06:28,2018-05-03,0.0087327005041106,11561100.0,-0.0057508954304474,0.0026583739279073,-0.00309252150254,1.0294386198224694,1.2012855441742156,0.9412267111348676,1.01866373902133,0.796866430676956,0.9042918488505792,0.8233194317072625,0.8529714123332964,Neutral,0.04543426,0.719802,False,True
023264IPE250720180104330611-59,ABEV3,AMBEV S.A.,Comunicado ao Mercado,Comunicado sobre a composição do Conselho Fiscal,2018-07-25 19:20:16,2018-07-26,0.0130926095767305,33046900.0,0.038915526306816,0.0121397432774748,0.051055269584291,0.8780904988035623,2.952092117487315,0.9130376466645702,2.492358188108111,0.9952807784174754,2.6077321075974225,1.038459114993459,1.9536452557999,Neutral,-0.015798055,0.8420222,False,True
023264IPE260720180104330710-87,ABEV3,AMBEV S.A.,Fato Relevante,Projeção em português,2018-07-26 18:30:04,2018-07-27,0.0177134168464733,16978200.0,0.0030120819290868,-0.0070423478269828,-0.0040302658978959,1.3346349780919236,1.4387378440032677,1.2840220548891044,1.2669182863001616,1.3681850569342762,1.3198129678057426,1.4022901211815213,1.0041335892390888,Neutral,-0.052595705,0.60063547,False,True
023264IPE191220180104345310-10,ABEV3,AMBEV S.A.,Comunicado ao Mercado,Comunicado ao Mercado - Parceria Canadá,2018-12-19 19:01:01,2018-12-20,0.0222672467549536,14676600.0,0.0148246744611946,-0.0272390429760402,-0.0124143685148456,1.941136002490672,0.9748939856096758,1.8280523231239636,0.9271887165063928,1.5238576528527534,0.8015452733719868,1.5535801239681848,0.8913785788060996,Neutral,0.06508984,0.74682575,False,True
023264IPE140120190104347913-66,ABEV3,AMBEV S.A.,Comunicado ao Mercado,Negociações atípicas de valores mobiliários,2019-01-14 22:48:18,2019-01-15,0.0167737319349843,35536600.0,0.0017089068722105,0.0073717978538402,0.0090807047260506,0.9409185725846492,1.1639773182855602,0.8559094967915707,1.4236763931149006,0.9975946913454178,1.67456794164026,1.1361591117057743,2.037764758435255,Negative,-0.88722926,0.92137396,True,True
023264IPE150520190104360011-51,ABEV3,AMBEV S.A.,Fato Relevante,Equity Swap,2019-05-15 19:11:26,2019-05-16,0.0152324436841959,27881900.0,-0.0066447539453759,0.0084490178067453,0.0018042638613694,1.244279485738602,1.2158077375569163,0.9649446551149572,1.1410696512526357,0.9746259801041922,1.255021246706704,0.9437286015127756,1.2632196350033336,Neutral,0.11156441,0.4794743,False,True
023264IPE090820190104368612-60,ABEV3,AMBEV S.A.,Comunicado ao Mercado,Resposta ao Ofício CVM nº 210/2019/CVM/SEP/GEA-2,2019-08-09 21:00:08,2019-08-12,0.0153840683915257,26937600.0,-0.0150604364928011,-0.0147773856217583,-0.0298378221145594,1.188847711764267,1.0812746208578554,0.9710577259544236,0.9797215218969448,1.02250166224034,1.103945090659611,1.098622553687718,1.271405972260774,Neutral,-0.09488278,0.7387183,False,True
