Data_Entrega,Ano,Ticker,Nome_Companhia,Codigo_CVM,Categoria,Tipo,Especie,Assunto,Protocolo_Entrega,Link_Download
2023-01-30,2023,BBSE3,BB SEGURIDADE PARTICIPAÇÕES S.A.,23159,Comunicado ao Mercado,Outros Comunicados Não Considerados Fatos Relevantes,,Informativo mensal de desempenho - Dezembro 2022,023159IPE300120230104495606-32,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=1053103&numSequencia=577833&numVersao=1
2023-01-30,2023,GOAU4,METALURGICA GERDAU SA,8656,Comunicado ao Mercado,Apresentações a analistas/agentes do mercado,,APIMEC 2022,008656IPE081220220104495610-88,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=1053235&numSequencia=577965&numVersao=1
2023-01-30,2023,B3SA3,"B3 S.A. - BRASIL, BOLSA, BALCÃO",21610,Comunicado ao Mercado,Outros Comunicados Não Considerados Fatos Relevantes,,Agenda de resultados 4T22,021610IPE300120230104495611-13,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=1053292&numSequencia=578022&numVersao=1
2023-01-30,2023,ELET3,CENTRAIS ELETRICAS BRASILEIRAS SA,2437,Comunicado ao Mercado,Outros Comunicados Não Considerados Fatos Relevantes,,Live CEO,002437IPE300120230104495611-21,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=1053297&numSequencia=578027&numVersao=1
2023-01-30,2023,TIMS3,TIM S.A.,24929,Fato Relevante,,,CFO e DRI Interino,024929IPE300120230104495612-54,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=1053358&numSequencia=578088&numVersao=1
2023-01-30,2023,TIMS3,TIM S.A.,24929,Fato Relevante,,,CFO e DRI Interino - Inglês,024929IPE300120230104495612-36,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=1053360&numSequencia=578090&numVersao=1
2023-01-30,2023,ENGI11,ENERGISA SA,15253,Comunicado ao Mercado,Outros Comunicados Não Considerados Fatos Relevantes,,"Boletim de Relações com Investidores, janeiro 2023",015253IPE250120230304495113-63,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=1053300&numSequencia=578030&numVersao=3
2023-01-30,2023,PETR4,PETRÓLEO BRASILEIRO  S.A.  - PETROBRAS,9512,Comunicado ao Mercado,Outros Comunicados Não Considerados Fatos Relevantes,,Petrobras sobre recebimento de earnout de Baúna,009512IPE300120230104495611-30,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=1053301&numSequencia=578031&numVersao=1
2023-01-31,2023,ITUB4,ITAÚ UNIBANCO HOLDING S.A.,19348,Comunicado ao Mercado,Apresentações a analistas/agentes do mercado,,Informações sobre o Resultado do 3º Trimestre de 2022.,019348IPE111120220104495711-14,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=1053690&numSequencia=578420&numVersao=1
2023-01-31,2023,LIGT3,LIGHT S.A. - EM RECUPERAÇÃO JUDICIAL,19879,Comunicado ao Mercado,Esclarecimentos sobre questionamentos da CVM/B3,,Notícia Divulgada na Mídia,019879IPE310120230104495705-31,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=1053445&numSequencia=578175&numVersao=1
